,gene,logFC,p_value,p_value_adj
177,180,0.05308367596615121,0.702670621865745,0.9610930692947681
178,181,0.5847078378186228,0.007759917844190665,0.16381396296595796
179,182,0.05924191363331588,0.5988341771192317,0.9524468553832373
180,183,-0.7841389673923612,0.001162128386894101,0.04364015579015598
181,184,0.0515621582210643,0.6083994015366339,0.9524468553832373
182,185,0.1384679920844344,0.3138082308228707,0.9335619367892671
183,186,0.020591403857770085,0.8765377671155469,0.9776497812436632
184,187,0.29206963516565465,0.05315490846384449,0.5138395532542036
185,188,0.17429090679129494,0.23119870278516397,0.8848973982400569
186,189,-0.18725338597519436,0.42895460713272326,0.9524468553832373
187,190,0.09347571149801115,0.4195242359148259,0.9524468553832373
188,191,0.03186996440707268,0.7709259758694336,0.9650182991734162
189,192,0.036943762139558384,0.7534517199680373,0.9650182991734162
190,193,0.06735299938722576,0.6352011853879844,0.9529847553359276
191,194,0.08413272067702962,0.5481379263330538,0.9524468553832373
192,195,0.006087309909428296,0.9549956691249797,0.992801433004419
193,196,0.04442611918861446,0.7410764937137515,0.9637400545202838
194,197,0.08473554485520314,0.5804594651654389,0.9524468553832373
195,198,0.16272579511651508,0.4065702075837496,0.9524468553832373
196,199,0.042051493242358226,0.77011381222205,0.9650182991734162
197,200,1.6601341818146627,0.0007893538718155402,0.032647038292650594
198,201,-0.04007645456218163,0.8678959000954933,0.9772660136131351
199,202,0.0939753586612784,0.5009875609589938,0.9524468553832373
200,203,0.056196570561496836,0.6974740992767126,0.9608207488312055
201,204,0.04163279423359134,0.7366095102479967,0.9633308763953541
202,205,0.03639337344146826,0.7869201327180189,0.9662446979554017
203,206,0.05411216168056168,0.623879515309389,0.9524468553832373
204,207,0.09137416205010952,0.4742549626693432,0.9524468553832373
205,208,0.14478279563131097,0.3979612687164995,0.9524468553832373
206,210,0.08930438782966693,0.46358015005096176,0.9524468553832373
207,211,0.15603549952846418,0.5247265380496675,0.9524468553832373
208,212,0.2275657174030769,0.13134231904189428,0.7628558786231616
209,213,-0.014220507069481969,0.9065719577847156,0.9828600054185022
210,214,0.06920127203625569,0.6284195083033159,0.9524468553832373
211,215,0.06612533752073682,0.6054161896681872,0.9524468553832373
212,216,0.020080843633763917,0.8153600369652118,0.9709228838054887
213,217,0.03917330293553298,0.7990313832922299,0.9685360140139251
214,218,0.0859720517475527,0.5592131259960211,0.9524468553832373
215,219,0.10016720016273917,0.49485951849899523,0.9524468553832373
216,220,0.04373318989885153,0.6776779145347187,0.9576533574886581
217,221,-0.013995518477795982,0.8906514789072211,0.9789113908564707
218,222,0.021571906748346442,0.8423100757343822,0.9731930778248212
219,223,0.07872087826381087,0.5598987151005146,0.9524468553832373
220,224,0.06779015965784213,0.5591752976606962,0.9524468553832373
221,225,0.10869485696091893,0.47090708541513926,0.9524468553832373
222,226,0.008037053367123626,0.9509999440310068,0.9924169914778412
223,227,0.2651880150319539,0.08054707399275579,0.6236489745664323
224,228,0.03613523132742506,0.7855798770612252,0.9657110738420547
225,229,0.2280871613174671,0.13501232831452215,0.7689656287096839
226,230,-0.0038021011322235954,0.972397839085127,0.9955440991881338
227,231,0.05356664729241459,0.6225132414624794,0.9524468553832373
228,232,0.12030380486449634,0.5077745776967091,0.9524468553832373
229,233,-0.037291542901810526,0.6879062300643648,0.9586379616447497
230,234,0.14261923073333246,0.18345309850425562,0.8394118997305072
231,235,0.8620609248062686,0.020669498441083844,0.2988789395389875
232,236,-0.021250993566595253,0.8906407603582689,0.9789113908564707
233,237,0.1865659149495621,0.2327691404671366,0.8848973982400569
234,238,0.07456321730307215,0.6158092274761787,0.9524468553832373
235,239,0.022044182814058164,0.8826384960526197,0.9779993141019976
236,240,0.2809813563419325,0.14539609060915726,0.787599719878128
237,241,0.09566823420724577,0.3718135156250526,0.948893300648199
238,242,0.05008159270636968,0.7942852705023412,0.9674578921879438
239,243,0.05019244858882149,0.6300438383289565,0.9524468553832373
240,244,0.12945758011523506,0.444521827973437,0.9524468553832373
241,245,-0.05730016603973,0.5705335921687241,0.9524468553832373
242,246,0.1151706606445089,0.36924304199176317,0.9485484090154032
243,247,0.10260968955185612,0.38835555444912473,0.9524468553832373
244,248,0.06844495804423106,0.5294673049670755,0.9524468553832373
245,249,0.3956245007301282,0.22261034183720718,0.8784920194805319
246,250,0.1542455692632025,0.3749545230334361,0.9511138732264424
247,251,0.14597073638780486,0.4815793367008637,0.9524468553832373
248,252,-0.059606309944514935,0.7364181592706739,0.9633308763953541
249,253,-0.06981700716752044,0.4428309923739814,0.9524468553832373
250,254,0.06343541959348134,0.5808430150732754,0.9524468553832373
251,255,0.08231094292914368,0.5247173874948639,0.9524468553832373
252,256,0.03339458954071875,0.7627477886484717,0.9650182991734162
253,257,-0.3516489198998797,0.005161682491448978,0.12678260881826942
254,258,-0.0005443363227164988,0.9960902073194741,0.9990140366879926
255,259,0.058501787986591613,0.5679733792413151,0.9524468553832373
256,260,0.23136975556185904,0.04232264855452111,0.4538354521274759
257,261,0.05322718600319447,0.7181296662336395,0.9613477364464499
258,262,0.22047802740602432,0.2011913784194358,0.857686117374068
259,263,0.049011768533210015,0.6862344667107938,0.9586379616447497
260,264,0.6234752115213106,0.09631144937894685,0.6762519302265781
261,265,0.25215225729437646,0.17786148529504764,0.8354678445995724
262,266,0.11789504145380347,0.6309542726467758,0.9524468553832373
263,267,0.05443118160598766,0.7293248064418654,0.9621958958610906
264,268,0.0682108535141438,0.6273463661730796,0.9524468553832373
265,269,0.08261486398339997,0.5322059317631409,0.9524468553832373
266,270,0.05450658922617732,0.6836281610565351,0.9586379616447497
267,271,0.08062224456035241,0.4034750208524578,0.9524468553832373
268,272,0.12674729912525362,0.4338719767107413,0.9524468553832373
269,273,0.13256245231103997,0.5010446034174643,0.9524468553832373
270,274,0.12099717884404507,0.3470510071771137,0.9459742061387308
271,275,0.10700356768434821,0.4697174903143846,0.9524468553832373
272,276,0.06875134224992806,0.7170028408728095,0.9613477364464499
273,277,0.046875240334096735,0.6997037129600387,0.9609610361883621
274,278,0.42055297409657727,0.03191201272160858,0.3911874382086246
275,279,0.05117742698758043,0.6928036756689934,0.9595274398743481
276,280,0.06784310421937935,0.5805431953668077,0.9524468553832373
277,281,0.06285811162021458,0.6239213189355202,0.9524468553832373
278,282,0.042409755427263204,0.829882481559203,0.9724678057849374
279,283,0.2961537346388389,0.07165276360651904,0.5918627389782137
280,284,0.08058365121115757,0.5392386592976758,0.9524468553832373
281,285,0.19398514197404007,0.43872203300844415,0.9524468553832373
282,286,0.2275005186754523,0.1728650408327378,0.8310033609898746
283,287,0.5548474532153649,0.00025225796295725694,0.013705407439467179
284,288,0.015581089702003448,0.8966751537293107,0.9804109404250726
285,289,0.028502266322822968,0.8811834189489245,0.9777516519028084
286,290,-0.030078926283128395,0.8460346827179059,0.9742449438909548
287,291,0.1289881545792151,0.38328487816842827,0.9524468553832373
288,292,0.25572498347191913,0.15356768044008992,0.8000670177320566
289,293,0.002534826439792054,0.9838001598084752,0.9971932300003324
290,294,0.04284739221181558,0.7018097680426949,0.9609610361883621
291,295,0.08509821209933416,0.4852766592172,0.9524468553832373
292,296,0.12655573085410968,0.5170467992376371,0.9524468553832373
293,297,0.040048333289159466,0.7511373294606533,0.9645461355436674
294,298,0.12379532841072434,0.36263929899167413,0.9472287858828297
295,299,0.07255092370192177,0.5733546279642265,0.9524468553832373
296,300,0.15428238602907673,0.1804228955107634,0.836249200246541
297,301,0.2528671525921471,0.03767410765058488,0.43121779709478736
